"","Coord: 1","Coord: 2","Coord: 3","Coord: 4","Coord: 5","Ctr: 1","Ctr: 2","Ctr: 3","Ctr: 4","Ctr: 5","Cor: 1","Cor: 2","Cor: 3","Cor: 4","Cor: 5"
"chicago: 9",0.22,-0.36,-0.58,-0.15,-0.49,0,0,1,0,0,0,0,0.1,0,0.1
"data.sub.soctrust: 1",-0.26,0.13,0.05,-0.01,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data.sub.soctrust: 2",0.15,-0.08,-0.02,0.01,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data.sub.soctrust: 3",-0.17,0.2,-0.06,-0.01,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data.sub.soctrust: 8",0.78,-1.36,0.75,0.51,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data.sub.soctrust: 9",0.24,1.14,-0.25,-0.31,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",-0.02,0.4,-0.31,-0.08,-0.19,0,1,1,0,0,NA,NA,NA,NA,NA
"2",0.5,-0.34,-0.02,-0.1,-0.15,1,0,0,0,0,NA,NA,NA,NA,NA
"3",-0.26,-0.21,0.02,0.13,-0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"4",0.05,0.13,-0.3,-0.11,-0.3,0,0,0,0,1,NA,NA,NA,NA,NA
"5",-0.79,0.87,0.35,0.2,0.37,2,3,1,0,1,NA,NA,NA,NA,NA
"6",-0.56,-0.15,0.15,-0.06,0.09,1,0,0,0,0,NA,NA,NA,NA,NA
"7",-0.78,-0.05,-0.04,0.36,-0.01,2,0,0,1,0,NA,NA,NA,NA,NA
"8",0.69,-0.42,0.32,0.25,0.17,1,1,1,0,0,NA,NA,NA,NA,NA
"9",-0.13,-0.16,-0.07,-0.04,0.03,0,0,0,0,0,NA,NA,NA,NA,NA
"10",-0.48,-0.17,-0.24,-0.34,-0.09,1,0,0,1,0,NA,NA,NA,NA,NA
"11",-0.53,0.25,-0.41,-0.21,-0.02,1,0,1,0,0,NA,NA,NA,NA,NA
"12",0.39,-0.27,-0.07,-0.08,-0.18,0,0,0,0,0,NA,NA,NA,NA,NA
"13",0.75,0.58,0.08,-0.01,0.15,2,1,0,0,0,NA,NA,NA,NA,NA
"14",0.45,0.47,-0.09,-0.16,0.2,1,1,0,0,0,NA,NA,NA,NA,NA
"15",-0.05,0.23,-0.26,-0.1,-0.15,0,0,0,0,0,NA,NA,NA,NA,NA
"16",0.44,-0.42,-0.1,-0.16,-0.22,1,1,0,0,0,NA,NA,NA,NA,NA
"17",-0.09,0.35,-0.34,-0.14,-0.13,0,0,1,0,0,NA,NA,NA,NA,NA
"18",-0.13,-0.37,-0.26,-0.26,-0.36,0,1,0,0,1,NA,NA,NA,NA,NA
"19",0.14,-0.26,-0.26,-0.21,-0.29,0,0,0,0,1,NA,NA,NA,NA,NA
"20",0.48,0.4,-0.3,-0.11,-0.32,1,1,0,0,1,NA,NA,NA,NA,NA
"21",-0.03,0.32,-0.33,-0.09,-0.15,0,0,1,0,0,NA,NA,NA,NA,NA
"22",-0.12,0.18,-0.11,-0.02,0.06,0,0,0,0,0,NA,NA,NA,NA,NA
"23",0.45,-0.29,0.13,0.06,-0.04,1,0,0,0,0,NA,NA,NA,NA,NA
"24",-0.52,-0.2,0.03,0.11,0.16,1,0,0,0,0,NA,NA,NA,NA,NA
"25",-0.25,-0.41,0.03,-0.03,0.05,0,1,0,0,0,NA,NA,NA,NA,NA
"26",0.04,0.73,-0.22,-0.08,-0.05,0,2,0,0,0,NA,NA,NA,NA,NA
"27",-0.16,-0.16,-0.39,-0.33,-0.18,0,0,1,1,0,NA,NA,NA,NA,NA
"28",-0.44,-0.33,0.05,-0.01,0.09,1,0,0,0,0,NA,NA,NA,NA,NA
"29",0.93,-0.5,0.58,0.27,0.38,2,1,2,0,1,NA,NA,NA,NA,NA
"30",0.38,-0.44,0.1,-0.02,-0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"31",-0.28,-0.47,0.01,-0.04,0.08,0,1,0,0,0,NA,NA,NA,NA,NA
"32",-0.51,0.18,0.3,0.13,0.23,1,0,0,0,0,NA,NA,NA,NA,NA
"33",-0.11,0.11,-0.13,0.15,-0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"34",-0.02,-0.17,0.03,0.11,0.06,0,0,0,0,0,NA,NA,NA,NA,NA
"35",0.36,-0.41,-0.15,-0.16,-0.33,0,1,0,0,1,NA,NA,NA,NA,NA
"36",0.71,0.32,-0.06,-0.07,-0.05,1,0,0,0,0,NA,NA,NA,NA,NA
"37",0.08,-0.54,-0.12,-0.17,-0.24,0,1,0,0,0,NA,NA,NA,NA,NA
"38",-0.5,-0.25,0.13,0.14,0.17,1,0,0,0,0,NA,NA,NA,NA,NA
"39",-0.22,0.62,-0.27,-0.13,0.12,0,2,0,0,0,NA,NA,NA,NA,NA
"40",-0.46,0.33,-0.21,-0.02,0.12,1,0,0,0,0,NA,NA,NA,NA,NA
"41",0.49,0.05,-0.2,0.03,-0.51,1,0,0,0,2,NA,NA,NA,NA,NA
"42",0.27,-0.4,0.02,0.09,-0.16,0,1,0,0,0,NA,NA,NA,NA,NA
"43",1.04,0.42,0.2,0.07,0.21,3,1,0,0,0,NA,NA,NA,NA,NA
"44",0.08,0.07,-0.26,-0.21,-0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"45",0.19,-0.54,0.32,0.24,0.27,0,1,1,0,0,NA,NA,NA,NA,NA
"46",0.1,-0.35,0.13,0.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"47",0.15,-0.43,-0.05,0,-0.17,0,1,0,0,0,NA,NA,NA,NA,NA
"48",-0.49,0.07,-0.01,0.02,-0.04,1,0,0,0,0,NA,NA,NA,NA,NA
"49",-0.12,0.49,-0.31,-0.18,-0.1,0,1,1,0,0,NA,NA,NA,NA,NA
"50",0.07,0.55,-0.22,-0.24,-0.23,0,1,0,0,0,NA,NA,NA,NA,NA
"51",0.06,-0.12,-0.23,-0.14,-0.27,0,0,0,0,0,NA,NA,NA,NA,NA
"52",-0.25,0.34,-0.35,-0.19,-0.01,0,0,1,0,0,NA,NA,NA,NA,NA
"53",-0.42,-0.11,0.2,-0.17,0,1,0,0,0,0,NA,NA,NA,NA,NA
"54",0.02,-0.21,0.16,-0.01,-0.04,0,0,0,0,0,NA,NA,NA,NA,NA
"55",0.05,0.76,-0.33,-0.19,-0.09,0,2,1,0,0,NA,NA,NA,NA,NA
"56",0.08,-0.42,0.09,0.04,-0.08,0,1,0,0,0,NA,NA,NA,NA,NA
"57",0.18,0.3,-0.22,-0.2,-0.1,0,0,0,0,0,NA,NA,NA,NA,NA
"58",-0.43,-0.52,-0.12,-0.13,0,1,1,0,0,0,NA,NA,NA,NA,NA
"59",-0.39,-0.03,0.3,0.32,0.25,0,0,0,1,0,NA,NA,NA,NA,NA
"60",-0.68,-0.45,-0.22,-0.39,-0.02,1,1,0,1,0,NA,NA,NA,NA,NA
"61",0.06,-0.5,0.15,0.13,0.12,0,1,0,0,0,NA,NA,NA,NA,NA
"62",-0.15,0.93,-0.01,0.02,0.07,0,4,0,0,0,NA,NA,NA,NA,NA
"63",0.71,0.38,-0.18,-0.14,-0.25,1,1,0,0,0,NA,NA,NA,NA,NA
"64",0.41,0.4,-0.24,-0.08,-0.19,0,1,0,0,0,NA,NA,NA,NA,NA
"65",-0.88,-0.1,0.37,0.4,0.48,2,0,1,1,1,NA,NA,NA,NA,NA
"66",-0.57,-0.31,-0.16,-0.29,-0.03,1,0,0,0,0,NA,NA,NA,NA,NA
"67",1.09,0.51,0.31,0.09,0.39,3,1,1,0,1,NA,NA,NA,NA,NA
"68",-0.2,-0.14,0.01,0.12,0.11,0,0,0,0,0,NA,NA,NA,NA,NA
"69",-0.03,-0.18,-0.24,-0.08,-0.17,0,0,0,0,0,NA,NA,NA,NA,NA
"70",-0.1,-0.37,-0.25,-0.22,-0.16,0,1,0,0,0,NA,NA,NA,NA,NA
"71",0.08,-0.45,-0.04,-0.07,-0.14,0,1,0,0,0,NA,NA,NA,NA,NA
"72",-0.56,-0.26,0,0.09,0.21,1,0,0,0,0,NA,NA,NA,NA,NA
"73",-1.11,0.08,0.28,0.15,0.53,3,0,0,0,2,NA,NA,NA,NA,NA
"74",-0.95,0.91,0.42,0.3,0.2,3,3,1,0,0,NA,NA,NA,NA,NA
"75",0.43,0.3,-0.15,-0.12,-0.11,1,0,0,0,0,NA,NA,NA,NA,NA
"76",0.18,-0.02,-0.07,0.01,-0.17,0,0,0,0,0,NA,NA,NA,NA,NA
"77",0.13,-0.43,0.06,-0.06,-0.09,0,1,0,0,0,NA,NA,NA,NA,NA
"78",-1.07,0.64,0.81,2.35,-1.07,3,2,3,31,7,NA,NA,NA,NA,NA
"79",-0.08,-0.2,0.17,0.23,-0.06,0,0,0,0,0,NA,NA,NA,NA,NA
"80",0.38,-0.34,0.23,0.11,0.13,0,0,0,0,0,NA,NA,NA,NA,NA
"81",0.09,-0.26,0.02,0.19,-0.19,0,0,0,0,0,NA,NA,NA,NA,NA
"82",-0.54,0.02,0.18,0.26,0.14,1,0,0,0,0,NA,NA,NA,NA,NA
"83",0.59,-0.41,0.11,0,-0.06,1,1,0,0,0,NA,NA,NA,NA,NA
"84",0.27,0.05,0.2,0.1,-0.02,0,0,0,0,0,NA,NA,NA,NA,NA
"85",-0.1,0.01,-0.16,0.04,-0.13,0,0,0,0,0,NA,NA,NA,NA,NA
"86",-0.48,0.57,-0.04,-0.11,0.06,1,1,0,0,0,NA,NA,NA,NA,NA
"87",-0.14,0.12,0.12,0.27,0.06,0,0,0,0,0,NA,NA,NA,NA,NA
"88",0.24,-0.37,-0.11,-0.12,-0.14,0,1,0,0,0,NA,NA,NA,NA,NA
"89",0.56,0.27,-0.12,-0.12,-0.2,1,0,0,0,0,NA,NA,NA,NA,NA
"90",0.47,-0.51,0.22,0.07,0.08,1,1,0,0,0,NA,NA,NA,NA,NA
